short_name,long_name,nationality_name,overall,age,player_positions,club_name,cluster,cluster_name,pace,shooting,passing,dribbling,defending,physic
L. Goretzka,Leon Christoph Goretzka,Germany,82,30,"CM, CDM, CAM",FC Bayern München,2,Deep Playmaker,77.0,78.0,80.0,80.0,80.0,82.0
Vitinha,Vítor Machado Ferreira,Portugal,89,25,"CM, CDM, CAM",Paris Saint-Germain,2,Deep Playmaker,72.0,80.0,86.0,90.0,75.0,70.0
M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,Egypt,91,33,"RM, RW",Liverpool,4,Pacey Dribbler II,89.0,88.0,86.0,90.0,45.0,76.0
M. Sabitzer,Marcel Sabitzer,Austria,80,31,"CDM, CM",Borussia Dortmund,2,Deep Playmaker,74.0,80.0,80.0,80.0,76.0,76.0
D. Rice,Declan Rice,England,87,26,"CDM, CM",Arsenal,2,Deep Playmaker,72.0,73.0,84.0,80.0,83.0,83.0
João Cancelo,João Pedro Cavaco Cancelo,Portugal,84,31,"RB, LB, RM",Al Hilal,2,Deep Playmaker,83.0,73.0,84.0,84.0,78.0,74.0
F. de Jong,Frenkie de Jong,Netherlands,87,28,"CM, CDM",FC Barcelona,2,Deep Playmaker,82.0,71.0,85.0,87.0,78.0,77.0
T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,Netherlands,86,26,"CM, CDM, CAM",Manchester City,2,Deep Playmaker,79.0,79.0,82.0,85.0,77.0,77.0
Raphinha,Raphael Dias Belloli,Brazil,89,28,"LM, LW",FC Barcelona,4,Pacey Dribbler II,91.0,84.0,85.0,87.0,53.0,75.0
B. Saka,Bukayo Saka,England,88,23,"RW, RM",Arsenal,4,Pacey Dribbler II,84.0,82.0,85.0,88.0,60.0,73.0
Pedri,Pedro González López,Spain,89,22,"CM, CDM, CAM",FC Barcelona,2,Deep Playmaker,77.0,73.0,85.0,91.0,78.0,77.0
Bruno Guimarães,Bruno Guimarães Rodrigues Moura,Brazil,86,27,"CM, CDM",Newcastle United,2,Deep Playmaker,66.0,75.0,84.0,84.0,79.0,81.0
O. Dembélé,Masour Ousmane Dembélé,France,90,28,"ST, RW, CAM",Paris Saint-Germain,4,Pacey Dribbler II,91.0,88.0,83.0,93.0,50.0,69.0
João Neves,João Pedro Gonçalves Neves,Portugal,85,20,"CM, CDM",Paris Saint-Germain,2,Deep Playmaker,74.0,71.0,80.0,84.0,82.0,83.0
R. Gravenberch,Ryan Jiro Gravenberch,Netherlands,85,23,"CDM, CM",Liverpool,2,Deep Playmaker,76.0,76.0,81.0,85.0,81.0,81.0
L. Martínez,Lautaro Javier Martínez,Argentina,88,27,ST,Inter,4,Pacey Dribbler II,81.0,88.0,75.0,84.0,51.0,83.0
K. De Bruyne,Kevin De Bruyne,Belgium,87,34,"CM, CAM",Napoli,2,Deep Playmaker,66.0,83.0,92.0,84.0,65.0,72.0
T. Koopmeiners,Teun Koopmeiners,Netherlands,81,27,"CAM, CM",Juventus,2,Deep Playmaker,70.0,79.0,83.0,78.0,75.0,75.0
Grimaldo,Alejandro Grimaldo García,Spain,84,29,"LM, LB, LW",Bayer 04 Leverkusen,2,Deep Playmaker,72.0,73.0,87.0,85.0,74.0,67.0
R. James,Reece James,England,81,25,RB,Chelsea,2,Deep Playmaker,76.0,71.0,82.0,77.0,81.0,81.0
C. Gallagher,Conor Gallagher,England,81,25,"CM, CAM, LM",Atlético Madrid,2,Deep Playmaker,75.0,76.0,80.0,78.0,79.0,84.0
Mikel Merino,Mikel Merino Zazón,Spain,83,29,"CM, ST",Arsenal,2,Deep Playmaker,63.0,79.0,80.0,80.0,81.0,80.0
E. Fernández,Enzo Jeremías Fernández,Argentina,84,24,"CM, CDM, CAM",Chelsea,2,Deep Playmaker,68.0,75.0,85.0,81.0,73.0,75.0
Fred,Frederico Rodrigues de Paula Santos,Brazil,80,32,"CM, CDM, CAM",Fenerbahçe SK,2,Deep Playmaker,77.0,71.0,78.0,82.0,76.0,75.0
D. Alaba,David Olatukunbo Alaba,Austria,82,33,"CB, LB, LM",Real Madrid,2,Deep Playmaker,68.0,71.0,82.0,79.0,82.0,75.0
I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,Algeria,80,27,"CDM, CM",Dinamo Zagreb,2,Deep Playmaker,76.0,72.0,80.0,83.0,76.0,74.0
B. Yılmaz,Barış Alper Yılmaz,Türkiye,80,25,"LM, RM, LW",Galatasaray SK,2,Deep Playmaker,93.0,77.0,72.0,79.0,69.0,90.0
Pedro Porro,Pedro Antonio Porro Sauceda,Spain,82,25,"RB, RM",Tottenham Hotspur,2,Deep Playmaker,78.0,73.0,81.0,80.0,77.0,76.0
K. Mbappé,Kylian Mbappé Lottin,France,91,26,"ST, LW, LM",Real Madrid,4,Pacey Dribbler II,97.0,90.0,81.0,92.0,37.0,76.0
M. Ødegaard,Martin Ødegaard,Norway,87,26,"CM, CAM",Arsenal,2,Deep Playmaker,68.0,79.0,88.0,87.0,67.0,65.0
Otávio,Otávio Edmilson da Silva Monteiro,Portugal,82,30,"CAM, CM, RM",Al Qadsiah FC,2,Deep Playmaker,78.0,71.0,82.0,85.0,70.0,75.0
O. Kökçü,Orkun Kökçü,Türkiye,82,24,"CM, CAM, CDM",Beşiktaş JK,2,Deep Playmaker,72.0,80.0,84.0,80.0,70.0,79.0
M. Acuña,Marcos Javier Acuña,Argentina,78,33,"LB, LM",River Plate,2,Deep Playmaker,76.0,69.0,77.0,81.0,71.0,80.0
S. McTominay,Scott Francis McTominay,Scotland,85,28,"CM, CAM, LM",Napoli,2,Deep Playmaker,76.0,82.0,77.0,80.0,80.0,85.0
H. Kane,Harry Edward Kane,England,89,31,ST,FC Bayern München,2,Deep Playmaker,64.0,92.0,83.0,82.0,48.0,82.0
E. Camavinga,Eduardo Celmi Camavinga,France,83,22,"CM, CDM, LB",Real Madrid,2,Deep Playmaker,80.0,68.0,81.0,84.0,78.0,80.0
Rúben Neves,Rúben Diogo da Silva Neves,Portugal,84,28,"CDM, CM",Al Hilal,2,Deep Playmaker,57.0,75.0,87.0,77.0,77.0,76.0
F. Nmecha,Felix Kalu Nmecha,Germany,82,24,"CDM, CM",Borussia Dortmund,2,Deep Playmaker,82.0,74.0,73.0,81.0,80.0,86.0
Carlos Augusto,Carlos Augusto Zopalato Neves,Brazil,81,26,"LB, CB, LM",Inter,2,Deep Playmaker,78.0,72.0,77.0,79.0,79.0,76.0
J. McGinn,John McGinn,Scotland,81,30,"LM, RM, CAM, LB",Aston Villa,2,Deep Playmaker,69.0,77.0,78.0,80.0,77.0,83.0
Berenguer,Alejandro Berenguer Remiro,Spain,82,29,"LM, RM, CAM, LW",Athletic Club,4,Pacey Dribbler II,84.0,77.0,79.0,84.0,65.0,69.0
E. Can,Emre Can,Germany,82,31,"CB, CDM, CM",Borussia Dortmund,2,Deep Playmaker,77.0,76.0,72.0,74.0,82.0,84.0
Pedro Gonçalves,Pedro António Pereira Gonçalves,Portugal,83,27,"CAM, LM, CM",Sporting CP,4,Pacey Dribbler II,77.0,82.0,83.0,84.0,63.0,68.0
Joelinton,Joelinton Cassio Apolinário de Lira,Brazil,82,28,"CM, LW, LM",Newcastle United,2,Deep Playmaker,74.0,73.0,77.0,81.0,82.0,90.0
Nuno Mendes,Nuno Alexandre Tavares Mendes,Portugal,86,23,"LB, LM",Paris Saint-Germain,2,Deep Playmaker,95.0,65.0,76.0,82.0,80.0,77.0
K. Thuram,Khéphren Thuram-Ulien,France,81,24,"CM, CDM",Juventus,2,Deep Playmaker,78.0,76.0,77.0,80.0,81.0,81.0
I. Perišić,Ivan Perišić,Croatia,81,36,"RW, LW, RM",PSV,2,Deep Playmaker,75.0,80.0,81.0,79.0,69.0,75.0
Y. Tielemans,Youri Tielemans,Belgium,85,28,"CM, CDM, CAM",Aston Villa,2,Deep Playmaker,54.0,79.0,85.0,80.0,75.0,72.0
J. Tavernier,James Henry Tavernier,England,77,33,"RB, RM",Rangers FC,2,Deep Playmaker,80.0,71.0,78.0,75.0,69.0,79.0
J. Musiala,Jamal Musiala,Germany,88,22,"CAM, LM, CM, ST",FC Bayern München,4,Pacey Dribbler II,80.0,82.0,80.0,90.0,66.0,65.0
Marc Cucurella,Marc Cucurella Saseta,Spain,84,26,LB,Chelsea,2,Deep Playmaker,75.0,64.0,79.0,80.0,82.0,79.0
L. Torreira,Lucas Sebastián Torreira di Pascua,Uruguay,83,29,"CDM, CM",Galatasaray SK,2,Deep Playmaker,76.0,72.0,78.0,79.0,81.0,79.0
L. Modrić,Luka Modrić,Croatia,83,39,"CM, CAM, CDM",AC Milan,2,Deep Playmaker,68.0,74.0,86.0,86.0,70.0,62.0
F. Kessié,Franck Yannick Kessié,Côte d'Ivoire,80,28,"CDM, CM, CB",Al Ahli SFC,2,Deep Playmaker,78.0,77.0,73.0,78.0,78.0,86.0
G. Lo Celso,Giovani Lo Celso,Argentina,82,29,"CAM, CM, CDM",Real Betis Balompié,2,Deep Playmaker,68.0,81.0,82.0,84.0,68.0,71.0
F. Aursnes,Fredrik Aursnes,Norway,80,29,"CM, RB, RM, CAM",SL Benfica,2,Deep Playmaker,74.0,71.0,78.0,80.0,77.0,82.0
D. Kulusevski,Dejan KulusevskiДејан Кулушевски,Sweden,83,25,"CM, RW, CAM",Tottenham Hotspur,2,Deep Playmaker,74.0,79.0,84.0,85.0,62.0,81.0
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Portugal,84,30,"CM, RM, CDM, CAM",Manchester City,2,Deep Playmaker,61.0,78.0,83.0,89.0,71.0,65.0
F. Wirtz,Florian Richard Wirtz,Germany,89,22,"CAM, ST, CM",Liverpool,4,Pacey Dribbler II,80.0,82.0,88.0,90.0,54.0,67.0
W. McKennie,Weston James Earl McKennie,United States,78,26,"CM, CDM, CAM",Juventus,2,Deep Playmaker,77.0,71.0,77.0,77.0,80.0,80.0
R. Loftus-Cheek,Ruben Ira Loftus-Cheek,England,80,29,"CM, CAM",AC Milan,2,Deep Playmaker,81.0,76.0,79.0,80.0,76.0,80.0
Sergi Darder,Sergi Darder Moll,Spain,81,31,"LM, CM, CDM, LW",RCD Mallorca,2,Deep Playmaker,77.0,76.0,81.0,80.0,73.0,77.0
C. Tolisso,Corentin Tolisso,France,81,30,"CM, CDM, CAM",Olympique Lyonnais,2,Deep Playmaker,68.0,78.0,78.0,76.0,77.0,79.0
M. Brozović,Marcelo Brozović,Croatia,81,32,"CDM, CM",Al Nassr,2,Deep Playmaker,63.0,73.0,78.0,79.0,78.0,80.0
M. De Cuyper,Maxim De Cuyper,Belgium,80,24,"LB, RB, LM",Brighton & Hove Albion,2,Deep Playmaker,76.0,73.0,80.0,79.0,75.0,75.0
Q. Timber,Quinten Ryan Crispito Timber,Netherlands,80,24,"CM, CDM, CAM",Feyenoord,2,Deep Playmaker,77.0,78.0,76.0,80.0,74.0,83.0
C. McGregor,Callum William McGregor,Scotland,79,32,"CDM, CM",Celtic,2,Deep Playmaker,77.0,76.0,78.0,80.0,72.0,78.0
Douglas Luiz,Douglas Luiz Soares de Paulo,Brazil,80,27,"CM, CDM",Nottingham Forest,2,Deep Playmaker,67.0,75.0,82.0,80.0,75.0,70.0
Ayoze,Ayoze Pérez Gutiérrez,Spain,83,31,"ST, CAM",Villarreal CF,4,Pacey Dribbler II,86.0,83.0,80.0,83.0,59.0,67.0
A. Davies,Alphonso Boyle Davies,Canada,84,24,"LB, LM",FC Bayern München,4,Pacey Dribbler II,94.0,66.0,78.0,85.0,74.0,76.0
Nuno Santos,Nuno Miguel Gomes dos Santos,Portugal,79,30,"LM, LB, LW",Sporting CP,2,Deep Playmaker,79.0,81.0,76.0,79.0,69.0,73.0
M. Guendouzi,Mattéo Elias Kenzo Guendouzi Olié,France,82,26,"CDM, CM",Lazio,2,Deep Playmaker,72.0,73.0,80.0,80.0,77.0,77.0
M. Caicedo,Moisés Isaac Caicedo Corozo,Ecuador,87,23,"CDM, CM",Chelsea,2,Deep Playmaker,71.0,64.0,78.0,81.0,84.0,82.0
J. Gvardiol,Joško Gvardiol,Croatia,84,23,"LB, CB, LM",Manchester City,2,Deep Playmaker,78.0,71.0,75.0,78.0,84.0,82.0
K. Trippier,Kieran John Trippier,England,80,34,"RB, RM",Newcastle United,2,Deep Playmaker,66.0,65.0,83.0,77.0,80.0,71.0
Lucas Paquetá,Lucas Tolentino Coelho de Lima,Brazil,80,27,"CM, LM, CAM",West Ham United,2,Deep Playmaker,68.0,78.0,78.0,84.0,69.0,75.0
Gabriel Sara,Gabriel Davi Gomes Sara,Brazil,80,26,"CM, CAM, RM",Galatasaray SK,2,Deep Playmaker,74.0,74.0,83.0,79.0,68.0,78.0
M. Arambarri,Mauro Wilney Arambarri Rosa,Uruguay,80,29,"CM, CDM",Getafe CF,2,Deep Playmaker,65.0,79.0,76.0,77.0,79.0,79.0
D. Maeda,Daizen Maeda前田 大然,Japan,79,27,"LW, ST, RW, LM",Celtic,4,Pacey Dribbler II,92.0,79.0,70.0,76.0,65.0,79.0
E. Haaland,Erling Braut Håland,Norway,90,24,ST,Manchester City,4,Pacey Dribbler II,86.0,91.0,70.0,80.0,45.0,88.0
B. Pavard,Benjamin Pavard,France,84,29,CB,Olympique de Marseille,2,Deep Playmaker,75.0,67.0,76.0,75.0,86.0,79.0
E. Anderson,Elliot Junior Anderson,England,80,22,"CDM, CM",Nottingham Forest,2,Deep Playmaker,71.0,68.0,79.0,81.0,77.0,78.0
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,Netherlands,78,34,"CAM, ST, CM",Al Ettifaq,2,Deep Playmaker,67.0,72.0,77.0,80.0,76.0,75.0
Marcos Alonso,Marcos Alonso Mendoza,Spain,79,34,"CB, LB",RC Celta,2,Deep Playmaker,57.0,74.0,80.0,74.0,80.0,77.0
Aleix García,Aleix García Serrano,Spain,83,28,"CM, CDM",Bayer 04 Leverkusen,2,Deep Playmaker,65.0,75.0,85.0,84.0,75.0,66.0
Álex Baena,Alejandro Baena Rodríguez,Spain,84,23,"LM, ST, LW",Atlético Madrid,4,Pacey Dribbler II,79.0,76.0,84.0,82.0,65.0,68.0
M. Tillman,Malik Leon Tillman,United States,82,23,"CAM, LW, CM",Bayer 04 Leverkusen,4,Pacey Dribbler II,84.0,76.0,77.0,83.0,65.0,77.0
E. Palacios,Exequiel Alejandro Palacios,Argentina,84,26,"CM, CDM",Bayer 04 Leverkusen,2,Deep Playmaker,62.0,76.0,80.0,82.0,81.0,71.0
R. Zalazar,Rodrigo Zalazar Martínez,Uruguay,79,25,"CAM, CM, LM",Sporting Clube de Braga,2,Deep Playmaker,80.0,81.0,79.0,78.0,67.0,74.0
Carvajal,Daniel Carvajal Ramos,Spain,85,33,"RB, RM",Real Madrid,2,Deep Playmaker,80.0,58.0,79.0,81.0,81.0,79.0
Koke,Jorge Resurrección Merodio,Spain,81,33,"CM, CDM",Atlético Madrid,2,Deep Playmaker,61.0,72.0,83.0,78.0,76.0,77.0
L. Ferguson,Lewis Ferguson,Scotland,78,25,"CM, CDM, CAM",Bologna,2,Deep Playmaker,72.0,78.0,74.0,78.0,72.0,75.0
R. Ríos,Richard Rios Montoya,Colombia,79,25,"CM, CDM",SL Benfica,2,Deep Playmaker,81.0,70.0,77.0,82.0,72.0,82.0
C. Palmer,Cole Jermaine Palmer,England,87,23,"CAM, RM, ST",Chelsea,4,Pacey Dribbler II,75.0,83.0,87.0,87.0,50.0,65.0
Miguel Gutiérrez,Miguel Gutiérrez Ortega,Spain,81,23,"LB, LM",Napoli,2,Deep Playmaker,81.0,71.0,79.0,81.0,76.0,73.0
Angeliño,José Ángel Esmoris Tasende,Spain,79,28,"LB, LM",Roma,2,Deep Playmaker,69.0,70.0,81.0,80.0,74.0,69.0
Éderson,Éderson José dos Santos Lourenço da Silva,Brazil,82,25,CM,Atalanta,2,Deep Playmaker,78.0,72.0,77.0,80.0,80.0,81.0
M. Arnold,Maximilian Arnold,Germany,79,31,"CDM, CM",VfL Wolfsburg,2,Deep Playmaker,64.0,80.0,79.0,76.0,75.0,75.0
M. Gibbs-White,Morgan Anthony Gibbs-White,England,82,25,"CAM, ST",Nottingham Forest,4,Pacey Dribbler II,75.0,77.0,82.0,84.0,60.0,72.0
D. Dumfries,Denzel Justus Morris Dumfries,Netherlands,84,29,"RB, RM",Inter,2,Deep Playmaker,84.0,70.0,75.0,79.0,79.0,84.0
L. Digne,Lucas Digne,France,80,31,"LB, LM",Aston Villa,2,Deep Playmaker,69.0,68.0,79.0,76.0,77.0,74.0
R. Andrich,Robert Andrich,Germany,81,30,"CDM, CM, CB",Bayer 04 Leverkusen,2,Deep Playmaker,57.0,77.0,76.0,73.0,83.0,81.0
A. Tchouaméni,Aurélien Djani Tchouameni,France,84,25,"CDM, CM, CB",Real Madrid,2,Deep Playmaker,71.0,69.0,79.0,78.0,81.0,82.0
L. Provod,Lukáš Provod,Czechia,78,28,"CAM, CM, LM",SK Slavia Praha,2,Deep Playmaker,76.0,75.0,78.0,78.0,64.0,82.0
M. de Roon,Marten Elco de Roon,Netherlands,81,34,"CM, CDM",Atalanta,2,Deep Playmaker,61.0,74.0,77.0,76.0,83.0,80.0
Brais Méndez,Brais Méndez Portela,Spain,81,28,"CM, RM, CAM",Real Sociedad,2,Deep Playmaker,70.0,80.0,82.0,81.0,65.0,73.0
R. Gosens,Robin Everardus Gosens,Germany,80,30,"LB, LM",Fiorentina,2,Deep Playmaker,72.0,74.0,73.0,76.0,77.0,77.0
Fabián Ruiz,Fabián Ruiz Peña,Spain,85,29,"CM, CDM",Paris Saint-Germain,2,Deep Playmaker,61.0,77.0,80.0,81.0,75.0,72.0
G. Hamer,Gustavo Martin Emilio Hamer,Netherlands,77,28,"LM, CM, LW",Sheffield United,2,Deep Playmaker,70.0,72.0,79.0,76.0,72.0,76.0
J. Maddison,James Daniel Maddison,England,84,28,"CM, CAM",Tottenham Hotspur,4,Pacey Dribbler II,67.0,81.0,86.0,85.0,58.0,64.0
P. Groß,Pascal Groß,Germany,80,34,"CDM, CM",Borussia Dortmund,2,Deep Playmaker,48.0,75.0,84.0,79.0,72.0,76.0
Yuri Berchiche,Yuri Berchiche Izeta,Spain,79,35,"LB, LM",Athletic Club,2,Deep Playmaker,79.0,68.0,74.0,75.0,77.0,82.0
R. Guerreiro,Raphaël Adelino José Guerreiro,Portugal,80,31,"LB, CM, RB, LM",FC Bayern München,4,Pacey Dribbler II,69.0,78.0,85.0,88.0,74.0,54.0
K. Laimer,Konrad Laimer,Austria,82,28,"RB, CDM, CM, RM",FC Bayern München,2,Deep Playmaker,82.0,69.0,76.0,75.0,81.0,76.0
Jordi Alba,Jordi Alba Ramos,Spain,78,36,LB,Inter Miami,2,Deep Playmaker,82.0,69.0,78.0,80.0,70.0,68.0
M. Rogers,Morgan Elliot Rogers,England,82,22,"CAM, RM, LM, CM",Aston Villa,2,Deep Playmaker,77.0,77.0,79.0,84.0,67.0,79.0
Y. Carrasco,Yannick Ferreira Carrasco,Belgium,81,31,"LW, LM",Al Shabab,4,Pacey Dribbler II,87.0,80.0,77.0,85.0,58.0,67.0
D. Doué,Désiré Doué,France,85,20,"RW, LW, CM, RM",Paris Saint-Germain,4,Pacey Dribbler II,83.0,80.0,77.0,90.0,55.0,74.0
M. Thuram,Marcus Lilian Thuram-Ulien,France,85,27,ST,Inter,4,Pacey Dribbler II,86.0,83.0,76.0,82.0,50.0,80.0
D. Raum,David Raum,Germany,82,27,"LB, LM",RB Leipzig,2,Deep Playmaker,86.0,61.0,80.0,79.0,74.0,78.0
V. Gyökeres,Viktor Einar Gyökeres,Sweden,87,27,ST,Arsenal,4,Pacey Dribbler II,90.0,86.0,73.0,81.0,36.0,91.0
Anderson Talisca,Anderson Souza Conceição,Brazil,81,31,"CAM, ST, RW, CM",Fenerbahçe SK,4,Pacey Dribbler II,76.0,86.0,80.0,81.0,45.0,74.0
X. Simons,Xavier Quentin Shay Simons,Netherlands,84,22,"CAM, LM, ST",Tottenham Hotspur,4,Pacey Dribbler II,77.0,77.0,80.0,87.0,61.0,70.0
G. Xhaka,Granit Xhaka,Switzerland,85,32,"CDM, CM",Sunderland,2,Deep Playmaker,47.0,75.0,85.0,74.0,78.0,82.0
P. Dybala,Paulo Bruno Exequiel Dybala,Argentina,86,31,"CAM, ST",Roma,4,Pacey Dribbler II,80.0,85.0,84.0,87.0,41.0,64.0
C. Pulisic,Christian Mate Pulišić,United States,84,26,"RW, RM, CAM",AC Milan,4,Pacey Dribbler II,88.0,82.0,80.0,86.0,46.0,65.0
S. Mané,Sadio Mané,Senegal,83,33,"LM, RM, ST, LW",Al Nassr,4,Pacey Dribbler II,82.0,81.0,78.0,85.0,44.0,75.0
Iñaki Williams,Iñaki Williams Arthuer,Ghana,83,31,"RM, ST, RW",Athletic Club,4,Pacey Dribbler II,94.0,81.0,74.0,80.0,45.0,84.0
C. Puertas,Cameron Mitchel Puertas Castro,Spain,78,26,"CAM, CM",SV Werder Bremen,2,Deep Playmaker,74.0,75.0,79.0,79.0,69.0,76.0
J. Clauss,Jonathan Clauss,France,80,32,"RB, RM",OGC Nice,2,Deep Playmaker,85.0,69.0,76.0,78.0,73.0,69.0
K. Koné,Kouadio Emmanuel Boris Koné,France,79,24,CM,Roma,2,Deep Playmaker,74.0,74.0,75.0,81.0,74.0,82.0
Mingueza,Óscar Mingueza García,Spain,80,26,"RB, RM, LM",RC Celta,2,Deep Playmaker,80.0,66.0,77.0,77.0,76.0,76.0
H. Son,Heung-min Son손흥민 孙兴慜,Korea Republic,85,32,"LW, ST, LM",Los Angeles FC,4,Pacey Dribbler II,84.0,84.0,81.0,83.0,42.0,73.0
N. Kanté,N'Golo Kanté,France,85,34,"CDM, CM",Al Ittihad,2,Deep Playmaker,77.0,65.0,73.0,80.0,85.0,79.0
K. Walker,Kyle Andrew Walker,England,79,35,"RB, RM",Burnley,2,Deep Playmaker,80.0,64.0,75.0,76.0,77.0,78.0
Parejo,Daniel Parejo Muñoz,Spain,82,36,"CM, CDM",Villarreal CF,2,Deep Playmaker,39.0,80.0,87.0,78.0,74.0,67.0
L. Díaz,Luis Fernando Díaz Marulanda,Colombia,85,28,"LM, LW, ST",FC Bayern München,4,Pacey Dribbler II,88.0,81.0,76.0,87.0,45.0,75.0
N. Amiri,Nadiem Amiri,Germany,81,28,"CM, CAM",1. FSV Mainz 05,2,Deep Playmaker,65.0,79.0,82.0,82.0,62.0,72.0
M. Kovačić,Mateo Kovačić,Croatia,83,31,"CM, CDM, CAM",Manchester City,2,Deep Playmaker,67.0,74.0,81.0,83.0,73.0,72.0
F. Ugrinić,Filip Ugrinić,Switzerland,75,26,"CM, CAM, CDM",Valencia CF,2,Deep Playmaker,77.0,73.0,74.0,75.0,69.0,85.0
O. Pineda,Orbelín Pineda Alvarado,Mexico,77,29,"CAM, CM, RB",AEK Athens,4,Pacey Dribbler II,81.0,74.0,72.0,81.0,68.0,69.0
L. Paredes,Leandro Daniel Paredes,Argentina,78,31,"CM, CDM",Boca Juniors,2,Deep Playmaker,62.0,70.0,82.0,79.0,72.0,74.0
P. Foden,Philip Walter Foden,England,85,25,"RW, CM, LW, RM",Manchester City,4,Pacey Dribbler II,81.0,81.0,82.0,89.0,57.0,57.0
Matheus Nunes,Matheus Luiz Nunes,Portugal,79,26,"RB, CM, RM",Manchester City,2,Deep Playmaker,85.0,70.0,76.0,79.0,73.0,76.0
İ. Gündoğan,İlkay Gündoğan,Germany,83,34,"CM, CDM, CAM",Galatasaray SK,2,Deep Playmaker,54.0,79.0,83.0,80.0,74.0,67.0
W. Zaïre-Emery,Warren Zaïre-Emery,France,80,19,"CM, CDM, CAM",Paris Saint-Germain,2,Deep Playmaker,79.0,68.0,76.0,79.0,75.0,79.0
Luis Milla,Luis Milla Manzanares,Spain,79,30,"CM, CDM",Getafe CF,2,Deep Playmaker,69.0,72.0,80.0,76.0,75.0,73.0
S. Al Dawsari,Salem Al Dawsariسالم الدوسري,Saudi Arabia,82,33,"LM, LW",Al Hilal,4,Pacey Dribbler II,87.0,75.0,75.0,84.0,57.0,81.0
L. Sučić,Luka Sučić,Croatia,78,22,"CM, CAM",Real Sociedad,2,Deep Playmaker,76.0,76.0,78.0,77.0,68.0,72.0
C. Gakpo,Cody Mathès Gakpo,Netherlands,84,26,"LM, LW",Liverpool,4,Pacey Dribbler II,83.0,82.0,80.0,83.0,47.0,74.0
Sergio Gómez,Sergio Gómez Martín,Spain,79,24,"LM, CM, LB",Real Sociedad,2,Deep Playmaker,73.0,74.0,80.0,79.0,71.0,65.0
Andrey Santos,Andrey Nascimento dos Santos,Brazil,80,21,"CM, CDM",Chelsea,2,Deep Playmaker,74.0,69.0,74.0,78.0,77.0,80.0
Johnny Cardoso,João Lucas de Souza Cardoso,United States,81,23,"CDM, CM",Atlético Madrid,2,Deep Playmaker,72.0,67.0,76.0,78.0,80.0,77.0
O. Watkins,Oliver George Arthur Watkins,England,84,29,ST,Aston Villa,4,Pacey Dribbler II,77.0,83.0,73.0,80.0,50.0,80.0
